"","SVM_LABEL","SVM_PROB","Names"
"1","1",0.892471753605865,"#1 Bill Gates"
"2","-1",0.644685276436316,"#3 Warren Buffett"
"3","-1",0.789090442859286,"#4 Jeff Bezos"
"4","-1",0.663258760967543,"#5 Carlos Slim Helu & family"
"5","1",0.892471753605865,"#6 Mark Zuckerberg"
"6","1",0.988753222670498,"#7 Larry Ellison"
"7","-2",0.838133731959352,"#8 Michael Bloomberg"
"8","-2",0.897251759931298,"#9 Charles Koch"
"9","-2",0.897251759931298,"#9 David Koch"
"10","-1",0.644685276436316,"#12 Larry Page"
"11","-1",0.642206454290069,"#13 Sergey Brin"
"12","-1",0.789090442859286,"#14 Jim Walton"
"13","-1",0.789090442859286,"#15 Alice Walton"
"14","-1",0.87667657640363,"#16 S. Robson Walton"
"15","-1",0.445897396383833,"#17 Wang Jianlin"
"16","-1",0.663258760967543,"#18 Bernard Arnault & family"
"17","-1",0.783170744786222,"#19 Jorge Paulo Lemann"
"18","1",0.927263103523151,"#20 Li Ka-shing"
"19","-1",0.527520606029827,"#22 David Thomson & family"
"20","1",0.951637078160561,"#23 Sheldon Adelson"
"21","-1",0.706445412865768,"#25 George Soros"
"22","-2",0.887483856367803,"#26 Forrest Mars, Jr."
"23","-1",0.644742869850785,"#26 Jacqueline Mars"
"24","-2",0.838842089926927,"#29 Phil Knight"
"25","-1",0.638375192127398,"#31 Steve Ballmer"
"26","1",0.865617191716409,"#32 Michael Dell"
"27","-1",0.57173599700818,"#33 Jack Ma"
"28","1",0.490773414160873,"#34 Mukesh Ambani"
"29","-1",0.789090442859286,"#36 Ma Huateng"
"30","-1",0.584305990986901,"#37 Stefan Persson"
"31","-2",0.872142073710307,"#39 Susanne Klatten"
"32","1",0.865617191716409,"#42 Paul Allen"
"33","-2",0.906559963491298,"#43 Laurene Powell Jobs & family"
"34","-2",0.484608463510878,"#44 Prince Alwaleed Bin Talal Alsaud"
"35","-2",0.928638857196696,"#45 Michael Otto & family"
"36","-1",0.681757108794127,"#46 Carl Icahn"
"37","-1",0.789090442859286,"#48 Aliko Dangote"
"38","-2",0.413479913938021,"#49 Hinduja family"
"39","-1",0.673255294568067,"#50 Leonid Mikhelson"
"40","-1",0.789090442859286,"#51 Masayoshi Son"
"41","-1",0.789090442859286,"#52 Azim Premji"
"42","-2",0.924308474213218,"#53 Len Blavatnik"
"43","-2",0.838133731959352,"#54 Ray Dalio"
"44","-1",0.584305990986901,"#55 Stefan Quandt"
"45","-2",0.800099589374623,"#56 James Simons"
"46","-1",0.789090442859286,"#57 Henry Sy & family"
"47","-1",0.789090442859286,"#59 Dilip Shanghvi"
"48","-1",0.789090442859286,"#60 Donald Bren"
"49","-1",0.663258760967543,"#61 Serge Dassault & family"
"50","-1",0.57173599700818,"#62 Mikhail Fridman"
"51","-2",0.740662313917532,"#63 Charles Ergen"
